StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands,label,top_score,n_pois_in_radius,huff_score_work,huff_score_education,huff_score_shopping,huff_score_personal_business,huff_score_social,huff_score_leisure,huff_score_holiday
56876,51.576367,0.045394,,319.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.0719,68,0.0379,0.0,0.0537,0.0292,0.0046,0.0719,0.0
5474,52.63583,-1.13756,,300.0,Fast site,Slow (3–8kW),shopping,0.4389,668,0.15,0.0073,0.4389,0.4209,0.0972,0.1254,0.0195
126229,51.68978,-0.417351,,287.0,Fast site,Slow (3–8kW),leisure,0.1027,64,0.0313,0.0,0.0317,0.008,0.0,0.1027,0.0
258993,51.441585,-1.065328,,284.0,Fast site,Fast (8–49kW),work,0.0515,47,0.0515,0.0,0.0457,0.0083,0.0,0.0098,0.0
187810,51.592867,0.245586,,280.0,Fast site,Slow (3–8kW),social,0.0034,3,0.0006,0.0,0.0,0.0,0.0034,0.0005,0.0
136717,52.478035,-1.903558,,276.0,Fast site,Fast (8–49kW);Rapid (50–149kW),shopping,0.2349,761,0.1195,0.0046,0.2349,0.1724,0.0563,0.0842,0.0279
251009,51.262932,-1.085832,,275.0,Fast site,Fast (8–49kW);Rapid (50–149kW),shopping,0.4721,403,0.1011,0.0075,0.4721,0.1597,0.0847,0.068,0.0172
112816,55.86756,-4.25916,,275.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.1557,313,0.0419,0.0421,0.0919,0.0661,0.0273,0.1557,0.0202
167108,52.972984,-1.178559,,269.0,Fast site,Fast (8–49kW);Rapid (50–149kW);Slow (3–8kW),work,0.0359,109,0.0359,0.0007,0.0272,0.0036,0.0051,0.0175,0.0
191389,51.5402577,-2.4412307,,266.0,Fast site,Slow (3–8kW),leisure,0.0163,20,0.012,0.0,0.0069,0.0,0.0016,0.0163,0.0
91673,51.490217,0.023307,,266.0,Fast site,Slow (3–8kW),shopping,0.1653,378,0.0811,0.0,0.1653,0.0174,0.0008,0.1519,0.0
52516,51.500446459934,-0.425396114616994,,266.0,Fast site,Slow (3–8kW),shopping,0.0345,25,0.022,0.0,0.0345,0.0184,0.0009,0.0007,0.003
301905,52.90465506933688,-1.449052457672451,,264.0,Fast site,Fast (8–49kW),leisure,0.1994,105,0.0253,0.0012,0.0541,0.0072,0.0025,0.1994,0.0
299758,56.19239464586204,-3.001766625451296,,264.0,Fast site,Fast (8–49kW),leisure,0.0962,150,0.0122,0.0011,0.06,0.0155,0.0077,0.0962,0.0009
211294,52.4804349,-2.1130154,,264.0,Fast site,Fast (8–49kW),leisure,0.3762,454,0.0164,0.0052,0.3616,0.0738,0.0034,0.3762,0.0
210692,51.85952956482004,-2.252497881911495,,264.0,Fast site,Fast (8–49kW),shopping,1.469,268,0.055,0.0066,1.469,0.0832,0.0152,0.0507,0.0104
209804,51.746053926521625,-0.97908697882076,,264.0,Fast site,Fast (8–49kW),shopping,0.1176,112,0.014,0.0016,0.1176,0.0275,0.0065,0.0312,0.009
205611,51.75796536778181,-1.5951863389870629,,264.0,Fast site,Fast (8–49kW),shopping,0.097,82,0.0161,0.0027,0.097,0.0559,0.0319,0.052,0.0009
204770,51.94058758845858,-1.547606191109253,,264.0,Fast site,Fast (8–49kW),shopping,0.1105,126,0.0296,0.0023,0.1105,0.043,0.0245,0.0154,0.0053
193526,51.58658331904465,-1.4278424722360796,,264.0,Fast site,Fast (8–49kW),shopping,0.0975,219,0.0156,0.0862,0.0975,0.0794,0.0647,0.0936,0.0108
175609,51.89875229553789,-1.1478156583920054,,264.0,Fast site,Fast (8–49kW),shopping,0.0994,270,0.0693,0.0034,0.0994,0.0441,0.0119,0.0521,0.0005
19021,51.6191956275336,-0.301587581634521,,264.0,Fast site,Fast (8–49kW),leisure,0.0652,37,0.0004,0.0015,0.0066,0.0,0.0016,0.0652,0.0
19015,51.5746321,-0.37083419999999,,264.0,Fast site,Fast (8–49kW),shopping,0.3746,122,0.0514,0.002,0.3746,0.1471,0.005,0.0512,0.0
209948,51.71408469223556,-1.971489633455576,,254.0,Fast site,Fast (8–49kW);Rapid (50–149kW),shopping,0.1589,362,0.0772,0.0006,0.1589,0.0664,0.0285,0.0959,0.0053
299819,54.61320888182093,-5.872115059551163,,252.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.0916,35,0.0014,0.0,0.006,0.0068,0.0013,0.0916,0.0
288439,51.37503737,-0.41071221,,252.0,Fast site,Slow (3–8kW),shopping,0.0599,69,0.0315,0.0007,0.0599,0.0213,0.0078,0.0152,0.0006
267130,51.80326431550054,-0.2040976715819908,,252.0,Fast site,Fast (8–49kW);Rapid (50–149kW),shopping,0.117,138,0.0233,0.0022,0.117,0.0369,0.0047,0.0487,0.0
67772,51.481662,-0.128213,,252.0,Fast site,Slow (3–8kW),leisure,0.1206,217,0.0308,0.0094,0.0688,0.0248,0.011,0.1206,0.003
149199,52.414035,-1.883844,,251.0,Fast site,Fast (8–49kW);Rapid (50–149kW),shopping,0.1494,56,0.0056,0.0108,0.1494,0.0057,0.0074,0.0473,0.0
157364,54.5570854633319,-1.27525178903352,,246.0,Fast site,Fast (8–49kW);Slow (3–8kW),shopping,0.145,89,0.0061,0.0,0.145,0.022,0.0,0.028,0.0
195308,51.481306,-0.461553,,245.0,Fast site,Slow (3–8kW),holiday,0.0543,25,0.0358,0.0,0.0031,0.0004,0.0,0.0087,0.0543
5294,54.9767615,-1.6156849,,244.0,Fast site,Slow (3–8kW),shopping,0.5202,699,0.1032,0.0589,0.5202,0.4303,0.131,0.0847,0.002
279938,51.07837650464111,-1.8019259231576823,,242.0,Fast site,Fast (8–49kW),leisure,0.0549,66,0.0034,0.0336,0.0113,0.0024,0.0046,0.0549,0.0017
74794,51.3688223606349,-0.197550457820277,,238.0,Fast site,Slow (3–8kW),shopping,0.1045,145,0.0144,0.0019,0.1045,0.0334,0.0081,0.0337,0.0
471038,54.59781838901711,-5.924784806961839,,235.52,Fast site,Fast (8–49kW);Slow (3–8kW),shopping,0.7504,642,0.0992,0.0031,0.7504,0.1912,0.0479,0.0712,0.0094
258830,52.219129,-1.502991,,234.0,Fast site,Fast (8–49kW);Rapid (50–149kW),personal_business,0.2103,27,0.0,0.0,0.0761,0.2103,0.0,0.0451,0.007
258823,55.507667,-3.695574,,234.0,Fast site,Fast (8–49kW);Rapid (50–149kW),shopping,0.1188,10,0.0,0.0,0.1188,0.0922,0.0,0.0233,0.0351
195117,51.6223636,-1.284991,,232.0,Fast site,Fast (8–49kW);Rapid (50–149kW),work,0.1728,67,0.1728,0.0008,0.0101,0.0,0.0,0.074,0.0
125382,51.515465,0.010806,,232.0,Fast site,Slow (3–8kW),leisure,0.2613,362,0.0316,0.0027,0.1204,0.0852,0.0219,0.2613,0.0056
149405,55.916428,-4.233205,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.0831,16,0.0,0.0024,0.0,0.0207,0.001,0.0831,0.0
136997,55.867073,-3.977174,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),shopping,0.1812,270,0.0723,0.0,0.1812,0.0508,0.0494,0.0621,0.0
134089,57.28642,-2.37595,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),shopping,0.162,129,0.0309,0.0032,0.162,0.1184,0.0051,0.0064,0.0042
125074,56.628874,-2.768859,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.2433,52,0.0,0.0028,0.1079,0.0116,0.0976,0.2433,0.0009
117969,55.048152,-3.593376,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),education,0.1014,33,0.0062,0.1014,0.0,0.001,0.0012,0.0114,0.0008
102239,56.562306,-2.579231,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.2287,248,0.0197,0.015,0.1299,0.0234,0.0291,0.2287,0.0011
92076,56.50128,-2.70954,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),shopping,0.2246,95,0.025,0.0,0.2246,0.0413,0.0054,0.0363,0.0208
52032,50.4459385410763,-5.00107526779175,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.0422,15,0.0,0.0,0.0,0.0,0.0015,0.0422,0.0
47282,56.6714382639394,-3.00510406494141,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.2364,201,0.0221,0.0265,0.0643,0.0166,0.021,0.2364,0.0061
31372,55.9412108188738,-3.21707619092102,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.6172,917,0.0762,0.013,0.2106,0.1362,0.0159,0.6172,0.006
24127,55.9393584962339,-3.35600674152374,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.0108,15,0.0042,0.0,0.0,0.0004,0.0,0.0108,0.0
288213,51.70029585,0.11088924,,224.0,Fast site,Fast (8–49kW);Slow (3–8kW),shopping,0.3077,218,0.009,0.0083,0.3077,0.0587,0.0172,0.0187,0.0013
258897,53.631479,-2.689974,,224.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.2198,44,0.0,0.0,0.0501,0.0989,0.0,0.2198,0.0032
192401,50.8795302200799,0.0652862241562957,,224.0,Fast site,Slow (3–8kW),leisure,0.0066,2,0.0,0.0,0.0,0.0,0.0,0.0066,0.0
