StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands
76,55.507667,-3.695574,,234.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
77,51.6223636,-1.284991,,232.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
78,51.515465,0.010806,,232.0,Fast site,Slow (3–8kW)
79,55.916428,-4.233205,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
80,55.867073,-3.977174,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
81,57.28642,-2.37595,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
82,56.628874,-2.768859,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
83,55.048152,-3.593376,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
84,56.562306,-2.579231,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
85,56.50128,-2.70954,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
86,50.4459385410763,-5.00107526779175,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
87,56.6714382639394,-3.00510406494141,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
88,55.9412108188738,-3.21707619092102,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
89,55.9393584962339,-3.35600674152374,,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
90,51.70029585,0.11088924,,224.0,Fast site,Fast (8–49kW);Slow (3–8kW)
91,53.631479,-2.689974,,224.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
92,54.952284,-1.601777,,224.0,Fast site,Fast (8–49kW)
93,50.8795302200799,0.0652862241562957,,224.0,Fast site,Slow (3–8kW)
94,52.6016845,1.2274456,,222.0,Fast site,Fast (8–49kW)
95,53.48189484,-2.256413623,,220.0,Fast site,Fast (8–49kW)
96,50.82208036,-0.147311482,,220.0,Fast site,Fast (8–49kW)
97,52.12200155,-1.974665788,,220.0,Fast site,Fast (8–49kW)
98,52.360389747109735,-0.1602034168031423,,220.0,Fast site,Fast (8–49kW)
99,51.4532079,-0.97441,,220.0,Fast site,Fast (8–49kW)
100,56.20959800000014,-3.1460169999986647,,220.0,Fast site,Fast (8–49kW)
