RowID,StationID,Latitude,Longitude,Capacity_kW,Quantity,Level_OCM,DfT_Level
5401,280228,51.2118349,-4.090707341,22.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5402,280227,55.92575366,-3.51647234010484,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5403,280106,51.48811581770846,-0.3893287089724424,250.0,16,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5404,280105,51.48832959609934,-0.3954655978433176,250.0,12,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5405,280053,51.92386503098945,0.8990998462030859,300.0,8,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5406,280053,51.92386503098945,0.8990998462030859,50.0,1,Level 1 : Low (Under 2kW),Rapid (50–149kW)
5407,280050,52.11251928606811,-1.9377014742637186,60.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5408,280050,52.11251928606811,-1.9377014742637186,60.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5409,280050,52.11251928606811,-1.9377014742637186,22.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5410,280049,52.114191344071145,-1.939251693983067,120.0,2,Level 3:  High (Over 40kW),Rapid (50–149kW)
5411,280021,51.75399724919157,-1.2895378638891088,100.0,2,Level 3:  High (Over 40kW),Rapid (50–149kW)
5412,280021,51.75399724919157,-1.2895378638891088,22.0,8,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5413,279978,51.937436119194984,1.2824971953971271,22.0,8,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5414,279976,52.19031907089138,1.4697623038102279,120.0,8,Level 3:  High (Over 40kW),Rapid (50–149kW)
5415,279938,51.07837650464111,-1.8019259231576825,22.0,11,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5416,279936,51.07838059048842,-1.8022965480145388,7.4,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5417,279936,51.07838059048842,-1.8022965480145388,7.4,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5418,279936,51.07838059048842,-1.8022965480145388,7.4,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5419,279936,51.07838059048842,-1.8022965480145388,7.4,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5420,279933,55.93494686183095,-3.309841484726064,75.0,6,Level 3:  High (Over 40kW),Rapid (50–149kW)
5421,279923,51.73023502423831,-0.31103108172132465,22.0,6,Level 3:  High (Over 40kW),Fast (8–49kW)
5422,279922,51.304116267158236,-0.3281403934476259,22.0,4,Level 3:  High (Over 40kW),Fast (8–49kW)
5423,279891,53.774371872504986,-1.0644195540277224,150.0,3,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5424,279891,53.774371872504986,-1.0644195540277224,100.0,3,Level 3:  High (Over 40kW),Rapid (50–149kW)
5425,279890,53.571067664037884,-1.2002625557051942,150.0,6,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5426,279890,53.571067664037884,-1.2002625557051942,100.0,6,Level 3:  High (Over 40kW),Rapid (50–149kW)
5427,279888,54.55591075674769,-0.7930195521473706,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5428,279888,54.55591075674769,-0.7930195521473706,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5429,279887,54.58448031220331,-0.967778510216931,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5430,279885,54.48942199951,-0.6210446787727051,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5431,279885,54.48942199951,-0.6210446787727051,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5432,279885,54.48942199951,-0.6210446787727051,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5433,279885,54.48942199951,-0.6210446787727051,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5434,279885,54.48942199951,-0.6210446787727051,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5435,279884,54.48626287810376,-0.6111390454956336,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5436,279884,54.48626287810376,-0.6111390454956336,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5437,279883,54.43356553885229,-0.5349273236131467,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5438,279883,54.43356553885229,-0.5349273236131467,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5439,279882,54.29245560677015,-0.4113474926500089,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5440,279882,54.29245560677015,-0.4113474926500089,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5441,279881,54.28572064520938,-0.39912327368199385,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5442,279880,54.284881761896116,-0.3988197947072649,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5443,279880,54.284881761896116,-0.3988197947072649,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5444,279879,54.28398508955098,-0.40174584715595074,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5445,279879,54.28398508955098,-0.40174584715595074,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5446,279878,54.283672804104526,-0.39958626874079073,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5447,279878,54.283672804104526,-0.39958626874079073,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5448,279878,54.283672804104526,-0.39958626874079073,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5449,279877,54.28421828263001,-0.39303168444828884,7.0,4,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5450,279876,54.27536396944595,-0.4002586255765266,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5451,279876,54.27536396944595,-0.4002586255765266,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5452,279876,54.27536396944595,-0.4002586255765266,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5453,279876,54.27536396944595,-0.4002586255765266,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5454,279875,54.07958413656689,-0.19622931158716028,20.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5455,279875,54.07958413656689,-0.19622931158716028,20.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5456,279875,54.07958413656689,-0.19622931158716028,20.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
