StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands,Below 3kW,Fast (8–49kW),Rapid (50–149kW),Slow (3–8kW),Ultra-rapid (150kW+)
301905,52.90465506933688,-1.449052457672451,0.0,264.0,Fast site,Fast (8–49kW),0.0,264.0,0.0,0.0,0.0
299758,56.19239464586204,-3.001766625451296,0.0,264.0,Fast site,Fast (8–49kW),0.0,264.0,0.0,0.0,0.0
211294,52.4804349,-2.1130154,0.0,264.0,Fast site,Fast (8–49kW),0.0,264.0,0.0,0.0,0.0
210692,51.859529564820036,-2.252497881911495,0.0,264.0,Fast site,Fast (8–49kW),0.0,264.0,0.0,0.0,0.0
209804,51.746053926521625,-0.9790869788207601,0.0,264.0,Fast site,Fast (8–49kW),0.0,264.0,0.0,0.0,0.0
205611,51.75796536778181,-1.5951863389870629,0.0,264.0,Fast site,Fast (8–49kW),0.0,264.0,0.0,0.0,0.0
204770,51.940587588458584,-1.547606191109253,0.0,264.0,Fast site,Fast (8–49kW),0.0,264.0,0.0,0.0,0.0
193526,51.58658331904465,-1.4278424722360796,0.0,264.0,Fast site,Fast (8–49kW),0.0,264.0,0.0,0.0,0.0
175609,51.89875229553789,-1.1478156583920054,0.0,264.0,Fast site,Fast (8–49kW),0.0,264.0,0.0,0.0,0.0
19021,51.6191956275336,-0.301587581634521,0.0,264.0,Fast site,Fast (8–49kW),0.0,264.0,0.0,0.0,0.0
19015,51.5746321,-0.37083419999999,0.0,264.0,Fast site,Fast (8–49kW),0.0,264.0,0.0,0.0,0.0
209948,51.71408469223556,-1.971489633455576,0.0,254.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,154.0,100.0,0.0,0.0
299819,54.613208881820924,-5.872115059551163,0.0,252.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,132.0,120.0,0.0,0.0
288439,51.37503737,-0.41071221,0.0,252.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,252.0,0.0
267130,51.80326431550054,-0.20409767158199088,0.0,252.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,132.0,120.0,0.0,0.0
67772,51.481662,-0.128213,0.0,252.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,252.0,0.0
149199,52.414035,-1.883844,0.0,251.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,151.0,100.0,0.0,0.0
