ConnectorID,StationID,Latitude,Longitude,Power_kW,DfT_Band,Level,ConnectionType,CurrentType
conn_17948,24046,53.84661,-1.838378,43.0,Fast (8–49kW),Level 3:  High (Over 40kW),,
conn_17946,1952,53.846768,-1.835031,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17947,1952,53.846768,-1.835031,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17944,12118,53.859,-2.168,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17945,12118,53.859,-2.168,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17941,25152,53.872601,-3.026212,60.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17942,25152,53.872601,-3.026212,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17943,25152,53.872601,-3.026212,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17939,25397,53.873516,-1.706596,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17940,25397,53.873516,-1.706596,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17938,25397,53.873516,-1.706596,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17936,5787,53.875468,-2.394259,11.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17937,5787,53.875468,-2.394259,11.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17934,1951,53.878809,-3.045226,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17935,1951,53.878809,-3.045226,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17932,25396,53.906651,-1.686805,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17933,25396,53.906651,-1.686805,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17931,25396,53.906651,-1.686805,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17929,1950,53.914395,-1.937813,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17930,1950,53.914395,-1.937813,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17927,25395,53.915051,-1.700011,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17928,25395,53.915051,-1.700011,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17926,25395,53.915051,-1.700011,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17924,25394,53.924989,-1.825247,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17925,25394,53.924989,-1.825247,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17923,25394,53.924989,-1.825247,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17921,24045,53.92792,-1.38075,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17922,24045,53.92792,-1.38075,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17920,24045,53.92792,-1.38075,43.0,Fast (8–49kW),Level 3:  High (Over 40kW),,
conn_17918,25393,53.93235,-1.821751,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17919,25393,53.93235,-1.821751,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17917,25393,53.93235,-1.821751,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17915,1949,53.95228,-1.0772,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17916,1949,53.95228,-1.0772,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17914,5786,53.958319,-1.076517,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17911,25151,53.959499,-1.071522,60.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17912,25151,53.959499,-1.071522,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17913,25151,53.959499,-1.071522,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17910,3948,53.963699,-1.08633,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17909,3948,53.963699,-1.08633,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17906,24044,53.972918,-1.150518,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17907,24044,53.972918,-1.150518,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17908,24044,53.972918,-1.150518,43.0,Fast (8–49kW),Level 3:  High (Over 40kW),,
conn_17905,3947,53.984154,-1.095365,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17904,3947,53.984154,-1.095365,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17903,3946,53.997501,-1.5413,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17902,3946,53.997501,-1.5413,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17900,7226,54.013651,-2.785377,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17901,7226,54.013651,-2.785377,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
