StationID,Power_kW,Quantity,Capacity_kW,DfT_Band,Level,ConnectionType,CurrentType
5845,50.0,1,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
5845,4.0,4,16.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
5845,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
5850,50.0,1,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
5850,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
5859,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
5862,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
5864,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
5865,16.0,1,16.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
5866,7.0,3,21.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
5868,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
6629,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
6971,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
7017,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
7017,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
7650,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
7651,3.0,6,18.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
8810,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
8810,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
8812,16.0,1,16.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
8812,11.0,1,11.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
8812,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
8812,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
